,scenario,model,mean,std,count
9,covariate_shift,LinearRegression,0.9862674118732977,0.05271055744699766,10
15,covariate_shift,Ridge,0.9865633707110945,0.05258861408027245,10
3,covariate_shift,GradientBoosting,1.5720807934302892,0.4972316797706548,10
16,covariate_shift,Ridge CVAP - 1,1.846058471497211,0.727834767295341,10
10,covariate_shift,LinearRegression CVAP - 1,1.846068187780291,0.7278556110649417,10
12,covariate_shift,RandomForest,1.9120158309263235,0.7588619199491426,10
4,covariate_shift,GradientBoosting CVAP - 1,2.0702843157503397,0.8063723124624314,10
1,covariate_shift,ElasticNet CVAP - 1,2.071903386874048,0.7261084737586347,10
17,covariate_shift,Ridge CVAP - 10,2.144786396066335,0.8840217363297925,10
11,covariate_shift,LinearRegression CVAP - 10,2.144791784645191,0.8840334656606801,10
13,covariate_shift,RandomForest CVAP - 1,2.247541437622843,0.935455479746827,10
18,covariate_shift,SVR(RBF),2.297993332889285,0.9965588072905425,10
5,covariate_shift,GradientBoosting CVAP - 10,2.3235704623158364,0.942682922554963,10
2,covariate_shift,ElasticNet CVAP - 10,2.3308805062879676,0.8701074905385089,10
0,covariate_shift,ElasticNet,2.445136054302197,0.8420502932322035,10
14,covariate_shift,RandomForest CVAP - 10,2.463197151848599,1.03076362345405,10
19,covariate_shift,SVR(RBF) CVAP - 1,2.514916943744212,1.0873649128227392,10
7,covariate_shift,Lasso CVAP - 1,2.538331286278739,0.8225793385509198,10
20,covariate_shift,SVR(RBF) CVAP - 10,2.6570795041568314,1.1484351836451363,10
8,covariate_shift,Lasso CVAP - 10,2.7141231025566666,0.9422587841036405,10
6,covariate_shift,Lasso,2.8951590974001737,0.9926444841393612,10
24,friedman1,GradientBoosting,1.519166820054068,0.09523480134372135,10
33,friedman1,RandomForest,1.9859819214264385,0.09223831923008363,10
39,friedman1,SVR(RBF),2.124461646525283,0.12384808709317485,10
25,friedman1,GradientBoosting CVAP - 1,2.219569594034493,0.12268710387006598,10
40,friedman1,SVR(RBF) CVAP - 1,2.487003961996036,0.15178876015425938,10
34,friedman1,RandomForest CVAP - 1,2.5041827730738766,0.11476240409006691,10
26,friedman1,GradientBoosting CVAP - 10,2.5327392664945023,0.15541418261563344,10
36,friedman1,Ridge,2.6166678928913263,0.16787043873839014,10
30,friedman1,LinearRegression,2.6168954436812815,0.168116774666872,10
41,friedman1,SVR(RBF) CVAP - 10,2.771667200574666,0.16986759516837988,10
35,friedman1,RandomForest CVAP - 10,2.7816875812884985,0.14246694304431334,10
31,friedman1,LinearRegression CVAP - 1,2.875946898897869,0.14987480728720876,10
37,friedman1,Ridge CVAP - 1,2.87594886447407,0.14986729871488866,10
22,friedman1,ElasticNet CVAP - 1,2.891610200675406,0.15231176831262414,10
28,friedman1,Lasso CVAP - 1,3.0006167469621516,0.1559796184728527,10
32,friedman1,LinearRegression CVAP - 10,3.107303774783752,0.17076174213626832,10
38,friedman1,Ridge CVAP - 10,3.1073735825058697,0.170641509601308,10
23,friedman1,ElasticNet CVAP - 10,3.1221379218937213,0.17529658765299072,10
27,friedman1,Lasso,3.2101134431051435,0.18697068269518013,10
29,friedman1,Lasso CVAP - 10,3.22249904276538,0.1799901093979989,10
21,friedman1,ElasticNet,3.2506589378283364,0.16976218687982716,10
59,friedman2,Ridge CVAP - 10,1.0359183396358853,0.0259980290385904,10
53,friedman2,LinearRegression CVAP - 10,1.0359241836599868,0.025991395987861522,10
57,friedman2,Ridge,1.0369848167086873,0.023419281922784172,10
51,friedman2,LinearRegression,1.0369974174835108,0.023425032948602924,10
58,friedman2,Ridge CVAP - 1,1.037519230146987,0.026385015582020874,10
52,friedman2,LinearRegression CVAP - 1,1.0375379767059747,0.026375518044860612,10
61,friedman2,SVR(RBF) CVAP - 1,1.037902494496746,0.03031589228232213,10
62,friedman2,SVR(RBF) CVAP - 10,1.0383680147375645,0.028335085489309672,10
47,friedman2,GradientBoosting CVAP - 10,1.0412299496544775,0.024467946083265742,10
46,friedman2,GradientBoosting CVAP - 1,1.042555503274437,0.025696659585053655,10
56,friedman2,RandomForest CVAP - 10,1.0447291156687624,0.025458951956754308,10
55,friedman2,RandomForest CVAP - 1,1.0470050957410675,0.026992466930594986,10
60,friedman2,SVR(RBF),1.0478154918935716,0.0283532290579372,10
42,friedman2,ElasticNet,1.0545282139223802,0.023826798259296927,10
48,friedman2,Lasso,1.0545282139223802,0.023826798259296927,10
43,friedman2,ElasticNet CVAP - 1,1.0546846857662404,0.02428572277391526,10
49,friedman2,Lasso CVAP - 1,1.0546846857662404,0.02428572277391526,10
44,friedman2,ElasticNet CVAP - 10,1.0548158679443937,0.025027868537315895,10
