,scenario,model,mean,std,count
15,covariate_shift,Ridge,1.0016173546602964,0.021059147600284767,10
9,covariate_shift,LinearRegression,1.001618157617838,0.021064151875454875,10
16,covariate_shift,Ridge CVAP - 1,1.343646540890786,0.30083842578356573,10
10,covariate_shift,LinearRegression CVAP - 1,1.3436482567035903,0.30084140511146473,10
17,covariate_shift,Ridge CVAP - 10,1.4006246019719724,0.3360717711562873,10
11,covariate_shift,LinearRegression CVAP - 10,1.4006279798309882,0.33607878737710006,10
3,covariate_shift,GradientBoosting,1.4895942993897562,0.20708153974958118,10
4,covariate_shift,GradientBoosting CVAP - 1,1.6616486981252323,0.29617091053663663,10
5,covariate_shift,GradientBoosting CVAP - 10,1.7064249063101378,0.3226118240689668,10
1,covariate_shift,ElasticNet CVAP - 1,1.7449557559194004,0.2651993695854891,10
2,covariate_shift,ElasticNet CVAP - 10,1.7905449318851634,0.290663206486933,10
12,covariate_shift,RandomForest,1.809128311654036,0.2766095954123818,10
13,covariate_shift,RandomForest CVAP - 1,1.9291478445602532,0.32647632456387937,10
14,covariate_shift,RandomForest CVAP - 10,1.9650843244417164,0.34641454759508583,10
18,covariate_shift,SVR(RBF),1.9947401761794186,0.45630597116456617,10
19,covariate_shift,SVR(RBF) CVAP - 1,2.163088993231284,0.5388965331409084,10
20,covariate_shift,SVR(RBF) CVAP - 10,2.183473639208366,0.5434125117193482,10
7,covariate_shift,Lasso CVAP - 1,2.3914451416440135,0.3999769626875519,10
8,covariate_shift,Lasso CVAP - 10,2.4200800647394805,0.4109856615972151,10
0,covariate_shift,ElasticNet,2.6398305630809213,0.6090140721860887,10
6,covariate_shift,Lasso,3.071962631860458,0.7419075322479373,10
39,friedman1,SVR(RBF),1.315626059346775,0.014319443302111943,10
24,friedman1,GradientBoosting,1.3196221365416485,0.020154995099293326,10
25,friedman1,GradientBoosting CVAP - 1,1.4394935479190905,0.03390251560931011,10
40,friedman1,SVR(RBF) CVAP - 1,1.4398629236354705,0.022903870583516096,10
26,friedman1,GradientBoosting CVAP - 10,1.4625971523078811,0.0347875970640272,10
41,friedman1,SVR(RBF) CVAP - 10,1.4640824278616917,0.02429276188455031,10
